,t,rel_east_nm,rel_north_nm,rel_up_nm,range_nm
0,0,239.4979550908951,-143.13297545572354,-1.1520518358531318,279.01191081916494
1,1,233.17593410693505,-143.13297545572354,-1.1520518358531318,273.6044446511843
2,2,227.93017134110997,-143.13297545572354,-0.9874730021598274,269.1471470651816
3,3,222.68440857528486,-143.13297545572354,-0.9874730021598274,264.7194167194072
4,4,216.52619638256667,-135.8560580659336,-0.8228941684665227,255.6191295422325
5,5,210.35827343365935,-128.5791406761437,-0.8228941684665227,246.54386176463254
6,6,204.18065207978432,-121.30222328634909,-0.8228941684665227,237.49662147649536
7,7,197.99334468478474,-114.02530589655919,-0.8228941684665227,228.48153553205205
8,8,191.79636362513835,-106.74838850676885,-0.8228941684665227,219.50339565353164
9,9,185.58972128992633,-99.47147111697934,-0.8228941684665227,210.56779281139146
10,10,179.3734300808242,-92.19455372718943,-0.8228941684665227,201.681283987207
11,11,173.14750241208785,-84.91763633739953,-0.8228941684665227,192.85160022018823
12,12,166.91195071054034,-77.6407189476096,-0.8228941684665227,184.08790748854756
13,13,160.6667874155581,-70.36380155781968,-0.8228941684665227,175.40113540942903
14,14,154.41202497905732,-63.086884168029776,-0.8228941684665227,166.80439312852621
15,15,148.14767586548024,-55.809966778239854,-0.8228941684665227,158.31349724816303
16,16,141.8737525517815,-48.53304938844994,-0.8228941684665227,149.9476431988124
17,17,135.59026752741454,-41.25613199866088,-0.8228941684665227,141.73025869749645
18,18,129.29723329431795,-33.97921460887011,-0.8228941684665227,133.69008459049397
19,19,122.99466236690151,-26.70229721908019,-0.8228941684665227,125.8625313679043
20,20,116.6825672720328,-19.425379829290275,-0.8228941684665227,118.29135235306575
21,21,110.3609605490233,-12.148462439500362,-0.6583153347732182,111.02954621192967
22,22,104.02985474961466,-4.871545049710444,-0.6583153347732182,104.14593611599676
23,23,97.689262437965,2.4053723400794715,-0.6583153347732182,97.7210887723219
24,24,91.33919619063514,9.682289729869387,-0.6583153347732182,91.8533008347793
25,25,84.97966859657475,16.9592071196593,-0.6583153347732182,86.6579030440454
26,26,78.61069225710871,24.23612450944922,-0.6583153347732182,82.2645977772904
27,27,75.45015142593475,27.02091771058307,-0.4937365010799137,80.14423946766907
