t,relative_lat_ft,relative_lon_ft,relative_alt_ft
0,1736.4925759999999,-3011.0670965424097,14.0
1,1736.4925759999999,-2931.584040575489,14.0
2,1736.4925759999999,-2865.632146938449,12.0
3,1736.4925759999999,-2799.6802533014093,12.0
4,1648.208845550727,-2717.1384273983144,10.0
5,1559.9251151014541,-2634.770850598286,10.0
6,1471.6413846521243,-2552.577934426934,10.0
7,1383.3576542028516,-2470.560089805701,10.0
8,1295.0739237535734,-2388.7177270510183,10.0
9,1206.7901933043056,-2307.051255872927,10.0
10,1118.5064628550329,-2225.561085373977,10.0
11,1030.2227324057599,-2144.2476240480632,10.0
12,941.9390019564871,-2063.1112797792707,10.0
13,853.6552715072143,-1982.1524598407188,10.0
14,765.3715410579414,-1901.3715708934064,10.0
15,677.0878106086685,-1820.7690189850603,10.0
16,588.8040801593957,-1740.3452095489838,10.0
17,500.52034971013313,-1660.1005474029068,10.0
18,412.2366192608499,-1580.0354367478394,10.0
19,323.95288881157705,-1500.1502811669247,10.0
20,235.6691583623042,-1420.4454836242944,10.0
21,147.38542791303132,-1340.9214464639258,8.0
22,59.101697463758455,-1261.5785714085007,8.0
23,-29.18203298551441,-1183.166854272017,8.0
24,-117.46576343478728,-1106.2578090118661,8.0
25,-205.74949388406014,-1029.2341723261181,8.0
26,-294.033224333333,-952.0960968361511,8.0
27,-327.818399999999,-913.8170981038903,6.0
