t,relative_lat_ft,relative_lon_ft,relative_alt_ft
0,868246.288,-1505533.5482712048,7000.0
1,868246.288,-1465792.0202877445,7000.0
2,868246.288,-1432816.0734692244,6000.0
3,868246.288,-1399840.1266507045,6000.0
4,824104.4227753634,-1358569.2136991571,5000.0
5,779962.557550727,-1317385.425299143,5000.0
6,735820.6923260621,-1276288.967213467,5000.0
7,691678.8271014257,-1235280.0449028504,5000.0
8,647536.9618767867,-1194358.8635255091,5000.0
9,603395.0966521528,-1153525.6279364636,5000.0
10,559253.2314275164,-1112780.5426869886,5000.0
11,515111.36620288,-1072123.8120240315,5000.0
12,470969.50097824354,-1031555.6398896354,5000.0
13,426827.63575360714,-991076.2299203594,5000.0
14,382685.7705289707,-950685.7854467032,5000.0
15,338543.90530433424,-910384.5094925301,5000.0
16,294402.04007969785,-870172.6047744919,5000.0
17,250260.17485506658,-830050.2737014535,5000.0
18,206118.30963042495,-790017.7183739197,5000.0
19,161976.44440578853,-750075.1405834623,5000.0
20,117834.57918115209,-710222.7418121472,5000.0
21,73692.71395651565,-670460.7232319629,4000.0
22,29550.84873187923,-630789.2857042503,4000.0
23,-14591.016492757206,-591583.4271360085,4000.0
24,-58732.88171739364,-553128.904505933,4000.0
25,-102874.74694203008,-514617.0861630591,4000.0
26,-147016.6121666665,-476048.04841807554,4000.0
27,-163909.1999999995,-456908.54905194516,3000.0
